season,round,lat,long,country,driver,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,No,qualifying_time,driver_age,circuit_id_albert_park,circuit_id_americas,circuit_id_bahrain,circuit_id_baku,circuit_id_catalunya,circuit_id_hockenheimring,circuit_id_hungaroring,circuit_id_interlagos,circuit_id_marina_bay,circuit_id_monaco,circuit_id_monza,circuit_id_red_bull_ring,circuit_id_rodriguez,circuit_id_sepang,circuit_id_shanghai,circuit_id_silverstone,circuit_id_sochi,circuit_id_spa,circuit_id_suzuka,circuit_id_villeneuve,circuit_id_yas_marina,nationality_Australian,nationality_British,nationality_Finnish,nationality_French,nationality_German,nationality_Mexican,nationality_Russian,nationality_Spanish,constructor_ferrari,constructor_force_india,constructor_haas,constructor_mclaren,constructor_mercedes,constructor_red_bull,constructor_renault,constructor_sauber,constructor_toro_rosso,constructor_williams
2014,2,2.76083,101.738,Malaysia,kevin_magnussen,8,9,18,0,2,33,0,1,20,2:02.213,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,2,2.76083,101.738,Malaysia,kvyat,11,10,2,0,9,6,0,6,26,2:02.351,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2014,2,2.76083,101.738,Malaysia,grosjean,15,11,0,0,15,0,0,9,8,2:02.885,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,2.76083,101.738,Malaysia,raikkonen,6,12,6,0,7,18,0,3,7,2:01.218,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014,2,2.76083,101.738,Malaysia,kobayashi,20,13,0,0,21,0,0,10,10,2:03.595,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,2.76083,101.738,Malaysia,ericsson,22,14,0,0,17,0,0,10,9,2:04.407,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,2.76083,101.738,Malaysia,chilton,21,15,0,0,13,0,0,8,4,2:04.388,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,2.76083,101.738,Malaysia,ricciardo,5,16,0,0,22,0,0,11,3,2:00.541,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014,2,2.76083,101.738,Malaysia,gutierrez,12,17,0,0,12,0,0,7,21,2:02.369,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2014,2,2.76083,101.738,Malaysia,sutil,17,18,0,0,11,0,0,7,99,2:02.131,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,2,2.76083,101.738,Malaysia,vergne,9,19,4,0,8,6,0,6,25,2:03.078,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,2,2.76083,101.738,Malaysia,jules_bianchi,19,20,0,0,14,0,0,8,17,2:02.702,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,2.76083,101.738,Malaysia,maldonado,16,21,0,0,16,0,0,9,13,2:02.074,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,2.76083,101.738,Malaysia,perez,14,22,1,0,10,9,0,5,11,2:02.511,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2014,3,26.0325,50.5106,Bahrain,hamilton,2,1,25,1,2,68,2,1,44,1:33.464,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,3,26.0325,50.5106,Bahrain,rosberg,1,2,43,1,1,68,2,1,6,1:33.185,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,3,26.0325,50.5106,Bahrain,perez,4,3,1,0,13,19,0,5,11,1:34.346,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2014,3,26.0325,50.5106,Bahrain,ricciardo,13,4,0,0,22,15,0,6,3,1:34.051,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014,3,26.0325,50.5106,Bahrain,hulkenberg,11,5,18,0,6,19,0,5,27,1:35.116,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,3,26.0325,50.5106,Bahrain,vettel,10,6,15,0,7,15,0,6,1,1:34.985,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2014,3,26.0325,50.5106,Bahrain,massa,7,7,6,0,10,20,0,4,19,1:34.511,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,3,26.0325,50.5106,Bahrain,bottas,3,8,14,0,8,20,0,4,77,1:34.247,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,3,26.0325,50.5106,Bahrain,alonso,9,9,24,0,3,30,0,3,14,1:34.992,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2014,3,26.0325,50.5106,Bahrain,raikkonen,5,10,6,0,9,30,0,3,7,1:34.368,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014,3,26.0325,50.5106,Bahrain,kvyat,12,11,3,0,12,7,0,7,26,1:35.145,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2014,3,26.0325,50.5106,Bahrain,grosjean,16,12,0,0,14,0,0,9,8,1:35.908,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,26.0325,50.5106,Bahrain,chilton,21,13,0,0,17,0,0,11,4,1:37.913,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,26.0325,50.5106,Bahrain,maldonado,17,14,0,0,21,0,0,9,13,1:36.663,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,26.0325,50.5106,Bahrain,kobayashi,18,15,0,0,18,0,0,10,10,1:37.085,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,26.0325,50.5106,Bahrain,jules_bianchi,19,16,0,0,20,0,0,11,17,1:37.310,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,26.0325,50.5106,Bahrain,button,6,17,23,0,4,43,0,2,22,1:34.387,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
